salary_in_usd,work_models_On-site,work_models_Remote,comp_is_US,company_size_encoded,domain_expertise_Data Engineering,domain_expertise_Data Science,domain_expertise_Machine Learning / AI,domain_expertise_Other,exp_level
11.327,1,0,1,1,0,0,0,0,0
12.392,1,0,1,1,0,1,0,0,2
12.155,1,0,1,1,0,1,0,0,2
12.093,1,0,1,1,1,0,0,0,1
11.115,1,0,1,1,1,0,0,0,1
12.045,1,0,1,1,0,0,0,0,2
11.337,1,0,1,1,0,0,0,0,2
12.038,0,1,1,1,0,0,0,0,1
11.695,0,1,1,1,0,0,0,0,1
13.017,1,0,1,1,0,1,0,0,1
12.409,1,0,1,1,0,1,0,0,1
11.508,1,0,1,1,1,0,0,0,1
10.884,1,0,1,1,1,0,0,0,1
12.392,1,0,1,1,0,1,0,0,1
12.21,1,0,1,1,0,1,0,0,1
12.045,1,0,1,1,0,1,0,0,2
11.337,1,0,1,1,0,1,0,0,2
11.736,0,1,1,1,1,0,0,0,2
11.653,0,1,1,1,1,0,0,0,2
12.472,1,0,1,1,0,1,0,0,1
12.139,1,0,1,1,0,1,0,0,1
12.712,1,0,1,1,0,0,1,0,1
12.556,1,0,1,1,0,0,1,0,1
11.895,1,0,1,1,0,0,0,0,1
11.472,1,0,1,1,0,0,0,0,1
12.367,1,0,1,1,0,0,1,0,1
12.128,1,0,1,1,0,0,1,0,1
11.852,0,1,1,1,0,1,0,0,2
11.408,0,1,1,1,0,1,0,0,2
12.995,1,0,1,1,0,1,0,0,1
12.409,1,0,1,1,0,1,0,0,1
11.242,1,0,1,1,1,0,0,0,1
12.468,1,0,1,1,1,0,0,0,1
12.324,1,0,1,1,1,0,0,0,1
12.014,1,0,1,1,1,0,0,0,1
11.828,1,0,1,1,1,0,0,0,1
12.468,1,0,1,2,0,1,0,0,1
11.82,1,0,1,2,0,1,0,0,1
12.598,1,0,1,1,0,1,0,0,1
11.881,1,0,1,1,0,1,0,0,1
12.538,1,0,1,1,0,1,0,0,1
11.979,1,0,1,1,0,1,0,0,1
12.236,0,1,1,1,0,1,0,0,1
11.851,0,1,1,1,0,1,0,0,1
11.513,1,0,1,1,1,0,0,0,2
11.225,1,0,1,1,1,0,0,0,2
12.101,1,0,1,1,0,0,0,1,1
11.849,1,0,1,1,0,0,0,1,1
11.668,1,0,1,1,0,0,0,0,1
11.381,1,0,1,1,0,0,0,0,1
12.044,1,0,1,1,0,1,0,0,1
11.736,1,0,1,1,0,1,0,0,1
12.555,1,0,1,1,1,0,0,0,1
11.912,1,0,1,1,1,0,0,0,1
12.788,1,0,1,1,0,0,1,0,1
12.152,1,0,1,1,0,0,1,0,1
12.264,1,0,1,1,0,1,0,0,1
11.445,1,0,1,1,0,1,0,0,1
11.765,1,0,1,1,1,0,0,0,1
11.546,1,0,1,1,1,0,0,0,1
12.433,1,0,1,1,0,0,1,0,1
11.815,1,0,1,1,0,0,1,0,1
12.934,1,0,1,1,0,1,0,0,1
12.283,1,0,1,1,0,1,0,0,1
11.142,1,0,1,1,0,0,0,1,2
10.84,1,0,1,1,0,0,0,1,2
11.599,1,0,1,1,0,0,0,0,1
11.04,1,0,1,1,0,0,0,0,1
11.807,1,0,1,1,1,0,0,0,2
11.188,1,0,1,1,1,0,0,0,2
11.413,1,0,1,1,0,0,0,0,2
10.655,1,0,1,1,0,0,0,0,2
12.852,1,0,1,1,1,0,0,0,1
12.218,1,0,1,1,1,0,0,0,1
12.457,1,0,1,1,0,0,1,0,1
11.768,1,0,1,1,0,0,1,0,1
11.695,0,1,1,1,0,0,0,0,0
11.513,0,1,1,1,0,0,0,0,0
11.29,1,0,1,1,0,0,0,0,0
10.73,1,0,1,1,0,0,0,0,0
11.835,1,0,1,1,0,1,0,0,1
11.362,1,0,1,1,0,1,0,0,1
11.932,1,0,1,1,0,1,0,0,1
11.8,1,0,1,1,0,1,0,0,1
11.813,1,0,1,1,0,0,0,0,1
11.695,1,0,1,1,0,0,0,0,1
12.073,1,0,1,1,1,0,0,0,1
11.918,1,0,1,1,1,0,0,0,1
11.513,1,0,1,1,1,0,0,0,2
11.462,1,0,1,1,1,0,0,0,2
11.807,0,1,1,1,0,0,0,0,1
11.67,0,1,1,1,0,0,0,0,1
12.095,1,0,1,1,0,1,0,0,2
11.626,1,0,1,1,0,1,0,0,2
12.363,1,0,1,1,1,0,0,0,1
11.891,1,0,1,1,1,0,0,0,1
11.226,0,1,1,1,0,0,0,0,0
10.631,0,1,1,1,0,0,0,0,0
11.588,1,0,1,1,1,0,0,0,2
11.028,1,0,1,1,1,0,0,0,2
12.688,1,0,1,1,0,0,1,0,1
11.977,1,0,1,1,0,0,1,0,1
11.29,0,1,1,1,0,0,0,0,0
11.225,0,1,1,1,0,0,0,0,0
12.095,1,0,1,1,0,1,0,0,1
11.626,1,0,1,1,0,1,0,0,1
12.418,1,0,1,1,1,0,0,0,1
11.847,1,0,1,1,1,0,0,0,1
11.44,1,0,1,1,0,0,0,0,0
11.094,1,0,1,1,0,0,0,0,0
12.363,1,0,1,1,0,1,0,0,1
11.891,1,0,1,1,0,1,0,0,1
11.775,1,0,1,1,1,0,0,0,2
11.416,1,0,1,1,1,0,0,0,2
12.02,1,0,1,1,1,0,0,0,2
11.2,1,0,1,1,1,0,0,0,2
12.02,1,0,1,1,0,1,0,0,2
11.2,1,0,1,1,0,1,0,0,2
12.138,1,0,1,1,0,0,1,0,1
11.523,1,0,1,1,0,0,1,0,1
11.29,1,0,1,1,0,1,0,0,1
11.12,1,0,1,1,0,1,0,0,1
11.835,1,0,1,1,1,0,0,0,1
11.362,1,0,1,1,1,0,0,0,1
11.572,1,0,1,1,1,0,0,0,2
11.295,1,0,1,1,1,0,0,0,2
12.095,1,0,1,1,0,0,0,0,0
11.626,1,0,1,1,0,0,0,0,0
12.363,1,0,1,1,0,1,0,0,1
11.891,1,0,1,1,0,1,0,0,1
12.134,1,0,1,1,1,0,0,0,1
11.312,1,0,1,1,1,0,0,0,1
11.983,1,0,1,1,1,0,0,0,1
11.452,1,0,1,1,1,0,0,0,1
12.324,1,0,1,1,1,0,0,0,3
12.278,1,0,1,1,1,0,0,0,3
12.623,0,1,1,1,0,0,1,0,1
12.286,0,1,1,1,0,0,1,0,1
12.02,1,0,1,1,0,0,1,0,2
11.2,1,0,1,1,0,0,1,0,2
11.775,0,1,1,1,0,0,0,1,1
11.608,0,1,1,1,0,0,0,1,1
11.653,1,0,1,1,1,0,0,0,2
11.29,1,0,1,1,1,0,0,0,2
12.181,0,1,1,1,0,0,1,0,1
12.044,0,1,1,1,0,0,1,0,1
12.595,1,0,1,1,0,1,0,0,1
11.934,0,1,1,1,1,0,0,0,1
11.451,0,1,1,1,1,0,0,0,1
12.101,0,1,1,1,1,0,0,0,1
11.775,0,1,1,1,1,0,0,0,1
12.181,0,1,1,1,1,0,0,0,1
12.014,0,1,1,1,1,0,0,0,1
12.292,1,0,1,1,0,1,0,0,2
11.936,1,0,1,1,0,1,0,0,2
13.528,1,0,1,1,0,1,0,0,2
11.918,1,0,1,1,0,1,0,0,2
11.822,1,0,1,1,0,1,0,0,1
11.513,1,0,1,1,0,1,0,0,1
12.595,1,0,1,1,0,1,0,0,1
12.095,1,0,1,1,1,0,0,0,3
11.626,1,0,1,1,1,0,0,0,3
12.073,1,0,1,1,0,1,0,0,2
11.326,1,0,1,1,0,1,0,0,2
11.626,1,0,1,1,0,1,0,0,1
11.599,1,0,1,1,0,1,0,0,1
11.666,1,0,1,1,1,0,0,0,2
11.28,1,0,1,1,1,0,0,0,2
12.032,0,1,1,1,0,1,0,0,2
11.695,0,1,1,1,0,1,0,0,2
12.255,1,0,1,1,0,0,1,0,1
11.983,1,0,1,1,0,0,1,0,1
11.661,1,0,1,1,1,0,0,0,1
11.408,1,0,1,1,1,0,0,0,1
12.42,1,0,1,2,0,1,0,0,1
11.754,1,0,1,2,0,1,0,0,1
12.158,0,1,1,1,0,1,0,0,1
11.455,0,1,1,1,0,1,0,0,1
12.461,1,0,1,1,0,0,1,0,1
11.931,1,0,1,1,0,0,1,0,1
13.487,1,0,1,1,0,1,0,0,2
11.513,1,0,1,1,0,1,0,0,2
12.049,1,0,1,1,0,0,0,0,1
11.44,1,0,1,1,0,0,0,0,1
11.552,1,0,1,1,0,1,0,0,1
11.29,1,0,1,1,0,1,0,0,1
11.97,1,0,1,1,0,0,0,0,2
11.571,1,0,1,1,0,0,0,0,2
13.487,1,0,1,1,0,1,0,0,2
11.513,1,0,1,1,0,1,0,0,2
11.85,1,0,1,1,0,0,0,0,1
11.349,1,0,1,1,0,0,0,0,1
12.301,0,1,1,1,0,1,0,0,1
12.044,0,1,1,1,0,1,0,0,1
11.676,1,0,1,1,1,0,0,0,2
11.165,1,0,1,1,1,0,0,0,2
12.36,1,0,1,1,1,0,0,0,1
11.879,1,0,1,1,1,0,0,0,1
12.419,1,0,1,1,0,0,1,0,1
12.056,1,0,1,1,0,0,1,0,1
11.835,1,0,1,1,1,0,0,0,2
11.362,1,0,1,1,1,0,0,0,2
11.43,1,0,1,1,1,0,0,0,2
11.29,1,0,1,1,1,0,0,0,2
11.408,0,1,1,1,1,0,0,0,1
11.156,0,1,1,1,1,0,0,0,1
11.752,1,0,1,1,0,0,0,0,1
11.193,1,0,1,1,0,0,0,0,1
11.156,0,1,1,1,1,0,0,0,0
10.82,0,1,1,1,1,0,0,0,0
11.17,1,0,1,1,0,0,0,0,0
12.199,1,0,1,1,0,0,1,0,1
11.828,1,0,1,1,0,0,1,0,1
11.983,1,0,1,1,1,0,0,0,1
11.513,1,0,1,1,1,0,0,0,1
